,symbol,profit,sector
284,LDOS,34910.0,Information Technology
285,LEN,-6830.0,Consumer Discretionary
286,LLY,13330.0,Health Care
287,LNC,-176740.0,Financials
288,LIN,-165780.0,Materials
289,LYV,-38310.0,Communication Services
290,LKQ,-3350.0,Consumer Discretionary
291,LMT,0.0,Industrials
292,L,-42430.0,Financials
293,LOW,-31350.0,Consumer Discretionary
294,LYB,-47740.0,Materials
295,MTB,-100960.0,Financials
296,MRO,-25530.0,Energy
297,MPC,2020.0,Energy
298,MKTX,176950.0,Financials
299,MAR,-16340.0,Consumer Discretionary
300,MMC,-22930.0,Financials
301,MLM,0.0,Materials
302,MAS,-9590.0,Industrials
303,MA,60260.0,Information Technology
304,MXIM,0.0,Information Technology
305,MKC,0.0,Consumer Staples
306,MCD,-45630.0,Consumer Discretionary
307,MCK,-26060.0,Health Care
308,MDT,93390.0,Health Care
309,MRK,-2530.0,Health Care
310,MET,-41920.0,Financials
311,MTD,154580.0,Health Care
312,MGM,-55780.0,Consumer Discretionary
313,MCHP,37760.0,Information Technology
314,MU,40260.0,Information Technology
315,MSFT,-3420.0,Information Technology
316,MAA,-84670.0,Real Estate
317,MHK,-14590.0,Consumer Discretionary
318,TAP,-37910.0,Consumer Staples
319,MDLZ,-36960.0,Consumer Staples
320,MNST,-8880.0,Consumer Staples
321,MCO,110540.0,Financials
322,MS,-27770.0,Financials
323,MSI,-57280.0,Information Technology
324,MSCI,309330.0,Financials
325,MYL,-14780.0,Health Care
326,NDAQ,0.0,Financials
327,NOV,1520.0,Energy
328,NTAP,-59270.0,Information Technology
329,NFLX,242020.0,Communication Services
330,NWL,-9630.0,Consumer Discretionary
331,NEM,-27240.0,Materials
332,NWSA,-72580.0,Communication Services
333,NWS,0.0,Communication Services
334,NEE,0.0,Utilities
335,NLSN,-22680.0,Industrials
336,NKE,0.0,Consumer Discretionary
337,NI,5700.0,Utilities
338,NBL,-23620.0,Energy
339,NSC,7600.0,Industrials
340,NTRS,-1480.0,Financials
341,NOC,0.0,Industrials
342,NLOK,-4580.0,Information Technology
343,NCLH,-28590.0,Consumer Discretionary
344,NRG,8200.0,Utilities
345,NUE,2190.0,Materials
346,NVDA,107600.0,Information Technology
347,NVR,0.0,Consumer Discretionary
348,ORLY,-388180.0,Consumer Discretionary
349,OXY,-30690.0,Energy
350,ODFL,38780.0,Industrials
351,OMC,-41330.0,Communication Services
352,OKE,-25720.0,Energy
353,ORCL,-37910.0,Information Technology
354,OTIS,0.0,Industrials
355,PCAR,-56320.0,Industrials
356,PKG,47740.0,Materials
357,PH,-9690.0,Industrials
358,PAYX,-53320.0,Information Technology
359,PAYC,0.0,Information Technology
360,PYPL,42980.0,Information Technology
361,PNR,-6480.0,Industrials
362,PBCT,-4380.0,Financials
363,PEP,-48030.0,Consumer Staples
364,PKI,-9430.0,Health Care
365,PRGO,-8020.0,Health Care
366,PFE,-91500.0,Health Care
367,PM,-34310.0,Consumer Staples
368,PSX,0.0,Energy
369,PNW,-56050.0,Utilities
370,PXD,0.0,Energy
371,PNC,181710.0,Financials
372,PPG,-35550.0,Materials
373,PPL,-33090.0,Utilities
374,PFG,-59980.0,Financials
375,PG,32640.0,Consumer Staples
376,PGR,14170.0,Financials
377,PLD,-59840.0,Real Estate
378,PRU,-40930.0,Financials
379,PEG,-5860.0,Utilities
380,PSA,-3160.0,Real Estate
381,PHM,-2970.0,Consumer Discretionary
382,PVH,0.0,Consumer Discretionary
383,QRVO,-33430.0,Information Technology
384,QCOM,-29770.0,Information Technology
385,PWR,-26210.0,Industrials
386,DGX,8060.0,Health Care
387,RL,-35030.0,Consumer Discretionary
388,RJF,-5410.0,Financials
389,RTX,-21100.0,Industrials
390,O,13100.0,Real Estate
391,REG,-16020.0,Real Estate
392,REGN,-234660.0,Health Care
393,RF,24800.0,Financials
394,RSG,15600.0,Industrials
395,RMD,122170.0,Health Care
396,RHI,2630.0,Industrials
397,ROK,15180.0,Industrials
398,ROL,-11120.0,Industrials
399,ROP,59620.0,Industrials
400,ROST,13000.0,Consumer Discretionary
401,RCL,0.0,Consumer Discretionary
402,SPGI,247000.0,Financials
403,CRM,3970.0,Information Technology
404,SBAC,99850.0,Real Estate
405,SLB,-32440.0,Energy
406,STX,0.0,Information Technology
407,SEE,-6110.0,Materials
408,SRE,68880.0,Utilities
409,NOW,315080.0,Information Technology
410,SHW,174900.0,Materials
411,SPG,-35120.0,Real Estate
412,SWKS,-4060.0,Information Technology
413,SLG,-86050.0,Real Estate
414,SNA,0.0,Industrials
415,SO,-4850.0,Utilities
416,LUV,-50020.0,Industrials
417,SWK,-62850.0,Industrials
418,SBUX,-9610.0,Consumer Discretionary
419,STT,95630.0,Financials
420,STE,61920.0,Health Care
421,SYK,-190.0,Health Care
422,SIVB,-90990.0,Financials
423,SYF,-1040.0,Financials
424,SNPS,-117320.0,Information Technology
425,SYY,-69680.0,Consumer Staples
426,TMUS,20130.0,Communication Services
427,TROW,-38970.0,Financials
428,TTWO,50850.0,Communication Services
429,TPR,-17050.0,Consumer Discretionary
430,TGT,7000.0,Consumer Discretionary
431,TEL,7460.0,Information Technology
432,FTI,30910.0,Energy
433,TDY,182080.0,Industrials
434,TFX,22680.0,Health Care
435,TXN,5150.0,Information Technology
436,TXT,-1340.0,Industrials
437,BK,-48930.0,Financials
438,CLX,-4970.0,Consumer Staples
439,COO,28740.0,Health Care
440,HSY,-660240.0,Consumer Staples
441,MOS,-30290.0,Materials
442,TRV,-1330.0,Financials
443,DIS,-31600.0,Communication Services
444,TMO,81960.0,Health Care
445,TIF,9030.0,Consumer Discretionary
446,TJX,-116730.0,Consumer Discretionary
447,TSCO,-1230.0,Consumer Discretionary
448,TT,0.0,Industrials
449,TDG,0.0,Industrials
450,TFC,0.0,Financials
451,TWTR,7340.0,Communication Services
452,TYL,0.0,Technology
453,TSN,0.0,Consumer Staples
454,USB,40.0,Financials
455,UDR,-48390.0,Real Estate
456,ULTA,-183580.0,Consumer Discretionary
457,UAA,-28070.0,Consumer Discretionary
458,UA,-28060.0,Consumer Discretionary
459,UNP,25580.0,Industrials
460,UAL,-67110.0,Industrials
461,UNH,-127150.0,Health Care
462,UPS,-80040.0,Industrials
463,URI,0.0,Industrials
464,UHS,-54140.0,Health Care
465,UNM,-7610.0,Financials
466,VFC,9530.0,Consumer Discretionary
467,VLO,35180.0,Energy
468,VAR,129550.0,Health Care
469,VTR,830.0,Real Estate
470,VRSN,0.0,Information Technology
471,VRSK,16170.0,Industrials
472,VZ,1460.0,Communication Services
473,VRTX,-99300.0,Health Care
474,VIAC,0.0,Communication Services
475,V,85490.0,Information Technology
476,VNO,-36570.0,Real Estate
477,VMC,0.0,Materials
478,WRB,-62430.0,Financials
479,WAB,-14920.0,Industrials
480,WBA,24640.0,Consumer Staples
481,WMT,36790.0,Consumer Staples
482,WM,740.0,Industrials
483,WAT,17520.0,Health Care
484,WEC,40090.0,Utilities
485,WFC,-58510.0,Financials
486,WELL,5330.0,Real Estate
487,WST,-29020.0,Health Care
488,WDC,-72510.0,Information Technology
489,WU,-78590.0,Information Technology
490,WRK,18550.0,Materials
491,WY,-31570.0,Real Estate
492,WHR,-102220.0,Consumer Discretionary
493,WMB,-1070.0,Energy
494,WLTW,22630.0,Financials
495,WYNN,23150.0,Consumer Discretionary
496,XEL,76230.0,Utilities
497,XRX,7640.0,Information Technology
498,XLNX,-81160.0,Information Technology
499,XYL,9810.0,Industrials
500,YUM,15430.0,Consumer Discretionary
501,ZBRA,80140.0,Information Technology
502,ZBH,-151560.0,Health Care
503,ZION,9560.0,Financials
504,ZTS,-14590.0,Health Care
